date_time_bucket, passenger_count
2012-06-16_14-30,20885
2012-06-16_15-00,19882
2012-06-16_15-30,19415
2012-06-16_16-00,18194
2012-06-16_16-30,17577
2012-06-16_17-00,19504
2012-06-16_17-30,23202
2012-06-16_18-00,23646
2012-06-16_18-30,24735
2012-06-16_19-00,26458
2012-06-16_19-30,26945
2012-06-16_20-00,23598
2012-06-16_20-30,22969
2012-06-16_21-00,23582
2012-06-16_21-30,24893
2012-06-16_22-00,26538
2012-06-16_22-30,28949
2012-06-16_23-00,29053
2012-06-16_23-30,28777
2012-06-17_00-00,27951
2012-06-17_00-30,26480
2012-06-17_01-00,25525
2012-06-17_01-30,23736
2012-06-17_02-00,21804
2012-06-17_02-30,19044
2012-06-17_03-00,16812
2012-06-17_03-30,14313
2012-06-17_04-00,12547
2012-06-17_04-30,7749
2012-06-17_05-00,4880
2012-06-17_05-30,3732
2012-06-17_06-00,3469
2012-06-17_06-30,3791
2012-06-17_07-00,4221
2012-06-17_07-30,5441
2012-06-17_08-00,5671
2012-06-17_08-30,7590
2012-06-17_09-00,9150
2012-06-17_09-30,12014
2012-06-17_10-00,13250
2012-06-17_10-30,16659
2012-06-17_11-00,16710
2012-06-17_11-30,18128
2012-06-17_12-00,18396
2012-06-17_12-30,19204
2012-06-17_13-00,19647
2012-06-17_13-30,19901
2012-06-17_14-00,19735
2012-06-17_14-30,19747
2012-06-17_15-00,18237
2012-06-17_15-30,17810
2012-06-17_16-00,17022
2012-06-17_16-30,17148
2012-06-17_17-00,18200
2012-06-17_17-30,20059
2012-06-17_18-00,19945
2012-06-17_18-30,20524
2012-06-17_19-00,20562
2012-06-17_19-30,20114
2012-06-17_20-00,18917
2012-06-17_20-30,19001
2012-06-17_21-00,19789
2012-06-17_21-30,19013
2012-06-17_22-00,17614
2012-06-17_22-30,17693
2012-06-17_23-00,16441
2012-06-17_23-30,12997
2012-06-18_00-00,10998
2012-06-18_00-30,8526
2012-06-18_01-00,6465
2012-06-18_01-30,5133
2012-06-18_02-00,3961
2012-06-18_02-30,2974
2012-06-18_03-00,2648
2012-06-18_03-30,2285
2012-06-18_04-00,2495
2012-06-18_04-30,2313
2012-06-18_05-00,2805
2012-06-18_05-30,4683
2012-06-18_06-00,7195
2012-06-18_06-30,11764
2012-06-18_07-00,15036
2012-06-18_07-30,17479
2012-06-18_08-00,19586
2012-06-18_08-30,20821
2012-06-18_09-00,19787
2012-06-18_09-30,19061
2012-06-18_10-00,17056
2012-06-18_10-30,16704
2012-06-18_11-00,16120
2012-06-18_11-30,17854
2012-06-18_12-00,18027
2012-06-18_12-30,18273
2012-06-18_13-00,17817
2012-06-18_13-30,18796
2012-06-18_14-00,18641
2012-06-18_14-30,19284
2012-06-18_15-00,18828
2012-06-18_15-30,18421
2012-06-18_16-00,16770
2012-06-18_16-30,16972
2012-06-18_17-00,20307
2012-06-18_17-30,22573
2012-06-18_18-00,24703
2012-06-18_18-30,25450
2012-06-18_19-00,25659
2012-06-18_19-30,24353
2012-06-18_20-00,23845
2012-06-18_20-30,22400
2012-06-18_21-00,23418
2012-06-18_21-30,23174
2012-06-18_22-00,22154
2012-06-18_22-30,20624
2012-06-18_23-00,17319
2012-06-18_23-30,14047
2012-06-19_00-00,11498
2012-06-19_00-30,9261
2012-06-19_01-00,7161
2012-06-19_01-30,5198
2012-06-19_02-00,4196
2012-06-19_02-30,3152
2012-06-19_03-00,2514
2012-06-19_03-30,2149
2012-06-19_04-00,2141
2012-06-19_04-30,1892
2012-06-19_05-00,2493
2012-06-19_05-30,4371
2012-06-19_06-00,6940
2012-06-19_06-30,11953
2012-06-19_07-00,15323
2012-06-19_07-30,19239
2012-06-19_08-00,21890
2012-06-19_08-30,22977
2012-06-19_09-00,22416
2012-06-19_09-30,21250
2012-06-19_10-00,19601
2012-06-19_10-30,19356
2012-06-19_11-00,18540
2012-06-19_11-30,20195
2012-06-19_12-00,20514
2012-06-19_12-30,20194
2012-06-19_13-00,19274
2012-06-19_13-30,21449
2012-06-19_14-00,22957
2012-06-19_14-30,22914
2012-06-19_15-00,20916
2012-06-19_15-30,18986
2012-06-19_16-00,17020
2012-06-19_16-30,15991
2012-06-19_17-00,19244
2012-06-19_17-30,22018
2012-06-19_18-00,25586
2012-06-19_18-30,27209
2012-06-19_19-00,27877
2012-06-19_19-30,26793
2012-06-19_20-00,26096
2012-06-19_20-30,25346
2012-06-19_21-00,26958
2012-06-19_21-30,26296
2012-06-19_22-00,25221
2012-06-19_22-30,23955
2012-06-19_23-00,20522
2012-06-19_23-30,20145
2012-06-20_00-00,16247
2012-06-20_00-30,12151
2012-06-20_01-00,9290
2012-06-20_01-30,6896
2012-06-20_02-00,5544
2012-06-20_02-30,4569
2012-06-20_03-00,3586
2012-06-20_03-30,3096
2012-06-20_04-00,2829
2012-06-20_04-30,2470
2012-06-20_05-00,2749
2012-06-20_05-30,4613
2012-06-20_06-00,7273
2012-06-20_06-30,12722
2012-06-20_07-00,16554
2012-06-20_07-30,20332
2012-06-20_08-00,22732
2012-06-20_08-30,23040
2012-06-20_09-00,22750
2012-06-20_09-30,22433
2012-06-20_10-00,21017
2012-06-20_10-30,21664
2012-06-20_11-00,21006
2012-06-20_11-30,22996
2012-06-20_12-00,22964
2012-06-20_12-30,22177
2012-06-20_13-00,22384
2012-06-20_13-30,22640
2012-06-20_14-00,22626
2012-06-20_14-30,22692
2012-06-20_15-00,22334
2012-06-20_15-30,20092
2012-06-20_16-00,17568
2012-06-20_16-30,15495
2012-06-20_17-00,18107
2012-06-20_17-30,21974
2012-06-20_18-00,24996
2012-06-20_18-30,26907
2012-06-20_19-00,29112
2012-06-20_19-30,28908
2012-06-20_20-00,28244
2012-06-20_20-30,27104
2012-06-20_21-00,28332
2012-06-20_21-30,28842
2012-06-20_22-00,27628
2012-06-20_22-30,26521
2012-06-20_23-00,24632
2012-06-20_23-30,21577
2012-06-21_00-00,18067
2012-06-21_00-30,14089
2012-06-21_01-00,11118
2012-06-21_01-30,7904
2012-06-21_02-00,6595
2012-06-21_02-30,5048
2012-06-21_03-00,3921
2012-06-21_03-30,3198
2012-06-21_04-00,3215
2012-06-21_04-30,2528
2012-06-21_05-00,2778
2012-06-21_05-30,4541
2012-06-21_06-00,7318
2012-06-21_06-30,13122
2012-06-21_07-00,17123
2012-06-21_07-30,20910
2012-06-21_08-00,23249
2012-06-21_08-30,23805
2012-06-21_09-00,23038
2012-06-21_09-30,23197
2012-06-21_10-00,21532
2012-06-21_10-30,21640
2012-06-21_11-00,21282
2012-06-21_11-30,23011
2012-06-21_12-00,22836
2012-06-21_12-30,22717
2012-06-21_13-00,22414
2012-06-21_13-30,23262
2012-06-21_14-00,23800
2012-06-21_14-30,23531
2012-06-21_15-00,22127
2012-06-21_15-30,19363
2012-06-21_16-00,17219
2012-06-21_16-30,15586
